"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-15","56","40","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-16","56","40","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-17","52","46","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-18","54","48","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-19","54","48","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-20","54","47","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-21","55","42","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-22","55","45","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-23","57","44","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-24","66","47","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-25","66","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-26","68","43","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-27","68","42","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-28",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-29","64","46","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-30","66","44","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-03-31","76","42","76"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-01","76","47","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-02","76","46","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-03",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-04","74","43","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-05","76","46","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-06","52","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-07","52","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-08","53","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-09","52","38","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-10",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-11","57","37","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-12","56","36","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-13","57","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-14","57","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-16",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-17",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-18",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-19","57","37","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-20",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-21","54","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-22","54","48","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-23","54","48","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-24","57","48","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-25","57","47","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-26","57","45","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-04-28","58","44","54"
